x,y,z
-10.0,-5.0,10.0
-6.666669845581055,-5.0,10.0
-3.333329916000366,-5.0,10.0
0.0,-5.0,10.0
3.333329916000366,-5.0,10.0
6.666669845581055,-5.0,10.0
10.0,-5.0,10.0
-10.0,-1.6666699647903443,10.0
-6.666669845581055,-1.6666699647903443,10.0
-3.333329916000366,-1.6666699647903443,10.0
0.0,-1.6666699647903443,10.0
3.333329916000366,-1.6666699647903443,10.0
6.666669845581055,-1.6666699647903443,10.0
10.0,-1.6666699647903443,10.0
-10.0,1.6666699647903443,10.0
-6.666669845581055,1.6666699647903443,10.0
-3.333329916000366,1.6666699647903443,10.0
0.0,1.6666699647903443,10.0
3.333329916000366,1.6666699647903443,10.0
6.666669845581055,1.6666699647903443,10.0
10.0,1.6666699647903443,10.0
-10.0,5.0,10.0
-6.666669845581055,5.0,10.0
-3.333329916000366,5.0,10.0
0.0,5.0,10.0
3.333329916000366,5.0,10.0
6.666669845581055,5.0,10.0
10.0,5.0,10.0



