Frame; Unity_timestamps; trial; condition; target_x; target_y; target_z; epoch; error ; Eyes_timestamps; px_eye_right; py_eye_right; px_eye_left; py_eye_left; DiameterRight; DiameterLeft; ArduX; ArduY
47;4615;1;0;0;0;0;1;0;68104.599234;143.5145;153.8724;125.2099;88.43512;48.96763;16.96718;0;0
48;4627;1;0;0;0;0;1;0;68104.607539;143.5894;153.8977;125.2871;88.47725;48.75501;16.97095;0;0
49;4636;1;0;0;0;0;1;0;68104.616912;143.6178;153.9286;125.5888;88.57435;48.82653;16.9291;0;0
50;4651;1;0;0;0;0;1;0;68104.637064;143.6276;153.8932;125.4711;88.602;49.09261;16.98068;0;0
51;4655;1;0;0;0;0;1;0;68104.64128;143.5983;153.9285;125.4711;88.602;49.08405;16.98068;0;0
52;4661;1;0;0;0;0;1;0;68104.647118;143.5983;153.9285;125.489;88.61875;49.08405;16.98482;0;0
53;4665;1;0;0;0;0;1;0;68104.65104;143.5934;153.8969;125.489;88.61875;49.08235;16.98482;0;0
54;4671;1;0;0;0;0;1;0;68104.65104;143.5934;153.8969;125.489;88.61875;49.08235;16.98482;0;0
55;4675;1;0;0;0;0;1;0;68104.661731;143.6444;153.8772;125.2904;88.48385;49.35542;16.97162;0;0
56;4681;1;0;0;0;0;1;0;68104.661731;143.6444;153.8772;125.2904;88.48385;49.35542;16.97162;0;0
57;4685;1;0;0;0;0;1;0;68104.670553;143.6444;153.8772;125.4804;88.60144;49.35542;16.98334;0;0
58;4691;1;0;0;0;0;1;0;68104.672606;143.6302;153.9114;125.4804;88.60144;48.88068;16.98334;0;0
59;4695;1;0;0;0;0;1;0;68104.679754;143.6302;153.9114;125.469;88.55169;48.88068;16.97069;0;0
60;4701;1;0;0;0;0;1;0;68104.689908;143.6136;153.8924;125.3838;88.51788;48.9964;16.95011;0;0
61;4706;1;0;0;0;0;1;0;68104.689908;143.6136;153.8924;125.3838;88.51788;48.9964;16.95011;0;0
62;4711;1;0;0;0;0;1;0;68104.699684;143.5837;153.8838;125.724;88.60234;48.89132;16.92229;0;0
63;4716;1;0;0;0;0;1;0;68104.699684;143.5837;153.8838;125.724;88.60234;48.89132;16.92229;0;0
64;4721;1;0;0;0;0;1;0;68104.708342;143.5836;153.869;125.5085;88.5149;49.29519;16.92532;0;0
65;4755;1;0;0;0;0;1;0;68104.73943;143.578;153.8432;125.7892;88.5911;49.45486;16.89435;0;0
66;4760;1;0;0;0;0;1;0;68104.746451;143.578;153.8432;125.6132;88.60159;49.45486;16.94821;0;0
67;4765;1;0;0;0;0;1;0;68104.749323;143.6139;153.8925;125.6132;88.60159;48.94134;16.94821;0;0
68;4770;1;0;0;0;0;1;0;68104.755461;143.6139;153.8925;125.5541;88.62675;48.94134;16.97302;0;0
69;4774;1;0;0;0;0;1;0;68104.759501;143.624;153.9138;125.5541;88.62675;49.10098;16.97302;0;0
70;4778;1;0;0;0;0;1;0;68104.766834;143.624;153.9138;125.4554;88.57286;49.10098;16.96048;0;0
71;4785;1;0;0;0;0;1;0;68104.766834;143.624;153.9138;125.4554;88.57286;49.10098;16.96048;0;0
72;4789;1;0;0;0;0;1;0;68104.776008;143.5553;153.8819;125.3587;88.51845;49.17482;16.97535;0;0
73;4795;1;0;0;0;0;1;0;68104.776008;143.5553;153.8819;125.3587;88.51845;49.17482;16.97535;0;0
74;4801;1;0;0;0;0;1;0;68104.78607;143.5634;153.8691;125.5379;88.60346;49.3811;16.96721;0;0
75;4806;1;0;0;0;0;1;0;68104.78607;143.5634;153.8691;125.5379;88.60346;49.3811;16.96721;0;0
76;4811;1;0;0;0;0;1;0;68104.797641;143.5956;153.8945;125.5205;88.59499;49.13285;16.9478;0;0
77;4816;1;0;0;0;0;1;0;68104.797641;143.5956;153.8945;125.5205;88.59499;49.13285;16.9478;0;0
78;4822;1;0;0;0;0;1;0;68104.807378;143.5956;153.8945;125.5131;88.59619;49.13285;16.975;0;0
79;4827;1;0;0;0;0;1;0;68104.807343;143.6021;153.9474;125.5131;88.59619;48.37173;16.975;0;0
80;4833;1;0;0;0;0;1;0;68104.819731;143.6021;153.9474;125.8021;88.61549;48.37173;16.90119;0;0
81;4838;1;0;0;0;0;1;0;68104.821185;143.571;153.8841;125.8021;88.61549;48.91911;16.90119;0;0
82;4843;1;0;0;0;0;1;0;68104.83085;143.571;153.8841;125.5584;88.48833;48.91911;16.89629;0;0
83;4850;1;0;0;0;0;1;0;68104.833291;143.6567;153.919;125.5584;88.48833;49.06645;16.89629;0;0
84;4854;1;0;0;0;0;1;0;68104.833291;143.6567;153.919;125.5584;88.48833;49.06645;16.89629;0;0
85;4860;1;0;0;0;0;1;0;68104.84491;143.6052;153.8673;125.4328;88.556;48.98936;16.97711;0;0
86;4866;1;0;0;0;0;1;0;68104.84491;143.6052;153.8673;125.4328;88.556;48.98936;16.97711;0;0
87;4871;1;0;0;0;0;1;0;68104.856598;143.5471;153.819;125.7427;88.61032;49.40807;16.92607;0;0
88;4876;1;0;0;0;0;1;0;68104.856598;143.5471;153.819;125.7427;88.61032;49.40807;16.92607;0;0
89;4913;1;0;0;0;0;1;0;68104.896147;143.6014;153.9426;125.7778;88.48952;48.79539;16.85221;0;0
90;4919;1;0;0;0;0;1;0;68104.905582;143.4926;153.7753;125.8;88.58662;49.27326;16.89895;0;0
91;4925;1;0;0;0;0;1;0;68104.905582;143.4926;153.7753;125.8;88.58662;49.27326;16.89895;0;0
92;4931;1;0;0;0;0;1;0;68104.917021;143.5735;153.8799;125.6517;88.50448;49.02069;16.88458;0;0
93;4936;1;0;0;0;0;1;0;68104.917021;143.5735;153.8799;125.6517;88.50448;49.02069;16.88458;0;0
94;4943;1;0;0;0;0;1;0;68104.930526;143.5939;153.9444;125.319;88.48456;48.68292;16.94728;0;0
95;4948;1;0;0;0;0;1;0;68104.930526;143.5939;153.9444;125.319;88.48456;48.68292;16.94728;0;0
96;4953;1;0;0;0;0;1;0;68104.938179;143.5986;153.928;125.5054;88.61452;48.97953;16.98789;0;0
97;4958;1;0;0;0;0;1;0;68104.938179;143.5986;153.928;125.5054;88.61452;48.97953;16.98789;0;0
98;4964;1;0;0;0;0;1;0;68104.949811;143.6073;153.9337;125.3227;88.46099;48.78024;16.95667;0;0
99;4970;1;0;0;0;0;1;0;68104.949811;143.6073;153.9337;125.3227;88.46099;48.78024;16.95667;0;0
100;4975;1;0;0;0;0;1;0;68104.959716;143.6073;153.9337;125.2941;88.47393;48.78024;16.96753;0;0
101;4981;1;0;0;0;0;1;0;68104.959716;143.6073;153.9337;125.2941;88.47393;48.78024;16.96753;0;0
102;4987;1;0;0;0;0;1;0;68104.96894;143.6965;153.9657;125.4224;88.57617;49.14979;16.97754;0;0
103;4992;1;0;0;0;0;1;0;68104.96894;143.6965;153.9657;125.4224;88.57617;49.14979;16.97754;0;0
104;4998;1;0;0;0;0;1;0;68104.96894;143.6965;153.9657;125.4224;88.57617;49.14979;16.97754;0;0
105;5004;1;0;0;0;0;1;0;68104.983914;143.6127;153.9528;125.4571;88.55481;48.31426;16.95776;0;0
106;5010;1;0;0;0;0;1;0;68104.983914;143.6127;153.9528;125.4571;88.55481;48.31426;16.95776;0;0
107;5018;1;0;0;0;0;1;0;68104.999776;143.6266;153.9543;125.8025;88.59103;48.8403;16.89364;0;0
108;5023;1;0;0;0;0;1;0;68104.999776;143.6266;153.9543;125.8025;88.59103;48.8403;16.89364;0;0
109;5030;1;0;0;0;0;1;0;68105.014035;143.5483;153.8745;125.5159;88.51186;48.92669;16.9222;0;0
110;5064;1;0;0;0;0;1;0;68105.047226;143.5371;153.9028;125.5251;88.60301;48.90334;16.97493;0;0
111;5070;1;0;0;0;0;1;0;68105.057069;143.538;153.8043;125.4328;88.556;49.47618;16.97711;0;0
